iter	Passed	Remaining
399	56021	84032
400	56160	83890
401	56277	83716
402	56416	83574
403	56525	83389
404	56661	83243
405	56787	83082
406	56915	82926
407	57030	82750
408	57151	82583
409	57280	82428
410	57396	82254
411	57537	82117
412	57672	81970
413	57788	81797
414	57910	81633
415	58046	81488
416	58165	81320
417	58295	81167
418	58430	81022
419	58555	80862
420	58679	80701
421	58788	80521
422	58910	80357
423	59042	80208
424	59205	80102
425	59335	79949
426	59471	79805
427	59581	79627
428	59707	79470
429	59841	79325
430	59976	79179
431	60090	79007
432	60218	78854
433	60339	78692
434	60469	78541
435	60654	78461
436	60795	78325
437	60908	78152
438	61038	78000
439	61151	77828
440	61295	77696
441	61408	77525
442	61533	77367
443	61663	77217
444	61788	77062
445	61916	76909
446	62050	76765
447	62189	76626
448	62407	76585
449	62569	76473
450	62687	76308
451	62815	76156
452	62946	76007
453	63055	75832
454	63336	75864
455	63470	75719
456	63612	75583
457	63735	75425
458	63851	75258
459	63976	75102
460	64112	74960
461	64243	74811
462	64368	74656
463	64494	74502
464	64606	74332
465	64731	74176
466	64879	74048
467	65001	73890
468	65126	73736
469	65240	73569
470	65387	73438
471	65493	73263
472	65606	73096
473	65738	72950
474	65875	72809
475	66002	72658
476	66134	72512
477	66251	72350
478	66374	72194
479	66497	72038
480	66621	71884
481	66757	71743
482	66869	71577
483	66995	71424
484	67118	71269
485	67263	71139
486	67403	71002
487	67515	70836
488	67639	70682
489	67769	70535
490	67906	70395
491	68044	70257
492	68168	70104
493	68297	69956
494	68431	69814
495	68570	69676
496	68695	69525
497	68823	69376
498	68951	69227
499	69068	69068
500	69196	68919
501	69321	68769
502	69444	68616
503	69564	68460
504	69681	68301
505	69810	68155
506	69935	68003
507	70074	67867
508	70202	67720
509	70329	67571
510	70476	67442
511	70602	67292
512	70735	67150
513	70846	66987
514	70960	66827
515	71097	66687
516	71233	66548
517	71352	66394
518	71466	66234
519	71608	66099
520	71720	65938
521	71826	65772
522	71956	65628
523	72092	65488
524	72205	65329
525	72321	65172
526	72450	65026
527	72576	64878
528	72700	64729
529	72813	64570
530	72941	64424
531	73076	64285
532	73196	64132
533	73324	63986
534	73441	63832
535	73572	63689
536	73706	63549
537	73844	63413
538	73967	63263
539	74087	63111
540	74233	62981
541	74377	62850
542	74510	62709
543	74633	62560
544	74761	62415
545	74883	62265
546	75035	62141
547	75219	62042
548	75359	61907
549	75484	61759
550	75594	61600
551	75723	61456
552	75935	61379
553	76074	61244
554	76224	61116
555	76368	60985
556	76490	60835
557	76656	60720
558	76826	60609
559	76971	60477
560	77113	60343
561	77255	60209
562	77408	60084
563	77566	59962
564	77712	59831
565	77847	59691
566	77971	59544
567	78109	59407
568	78261	59280
569	78394	59140
570	78536	59005
571	78652	58852
572	78799	58721
573	78930	58579
574	79083	58452
575	79211	58308
576	79353	58174
577	79468	58020
578	79593	57873
579	79731	57736
580	79868	57598
581	80006	57461
582	80152	57330
583	80284	57189
584	80411	57043
585	80567	56919
586	80712	56787
587	80850	56650
588	80995	56517
589	81136	56382
590	81275	56246
591	81392	56094
592	81534	55960
593	81643	55803
594	81752	55646
595	81888	55508
596	82023	55369
597	82159	55230
598	82295	55092
599	82406	54937
600	82537	54795
601	82656	54646
602	82769	54493
603	82888	54343
604	83002	54191
605	83135	54051
606	83269	53912
607	83387	53762
608	83531	53630
609	83652	53482
610	83811	53359
611	83921	53205
612	84033	53052
613	84165	52912
614	84304	52775
615	84443	52640
616	84575	52499
617	84713	52363
618	84846	52223
619	84964	52074
620	85084	51927
621	85209	51783
622	85337	51640
623	85454	51491
624	85590	51354
625	85698	51199
626	85830	51060
627	85972	50926
628	86099	50783
629	86238	50648
630	86356	50500
631	86481	50356
632	86620	50220
633	86749	50079
634	86881	49939
635	87013	49800
636	87153	49665
637	87283	49524
638	87406	49379
639	87527	49234
640	87647	49088
641	87787	48953
642	87904	48805
643	88022	48658
644	88144	48513
645	88258	48364
646	88374	48216
647	88495	48071
648	88627	47932
649	88751	47789
650	88885	47651
651	89010	47508
652	89134	47365
653	89283	47235
654	89410	47094
655	89522	46944
656	89642	46799
657	89777	46662
658	89905	46521
659	90028	46378
660	90151	46235
661	90277	46093
662	90388	45944
663	90522	45806
664	90668	45675
665	90771	45521
666	90903	45383
667	91035	45244
668	91158	45102
669	91292	44964
670	91411	44820
671	91546	44683
672	91690	44550
673	91812	44407
674	91950	44272
675	92062	44124
676	92180	43979
677	92300	43836
678	92484	43722
679	92600	43576
680	92732	43438
681	92845	43291
682	92948	43140
683	93088	43005
684	93222	42868
685	93356	42731
686	93495	42596
687	93615	42453
688	93751	42317
689	93890	42182
690	94049	42056
691	94156	41907
692	94297	41774
693	94409	41627
694	94544	41490
695	94677	41353
696	94789	41206
697	94910	41064
698	95048	40929
699	95171	40787
700	95303	40650
701	95417	40504
702	95547	40366
703	95672	40225
704	95805	40088
705	95912	39941
706	96023	39794
707	96153	39656
708	96286	39519
709	96434	39388
710	96569	39252
711	96683	39108
712	96811	38968
713	96953	38835
714	97086	38698
715	97220	38562
716	97341	38420
717	97482	38287
718	97593	38141
719	97727	38005
720	97848	37863
721	97970	37722
722	98103	37585
723	98220	37443
724	98366	37311
725	98488	37170
726	98633	37038
727	98746	36894
728	98866	36752
729	99004	36618
730	99142	36483
731	99273	36346
732	99414	36212
733	99529	36069
734	99669	35935
735	99816	35803
736	99956	35669
737	100083	35530
738	100247	35405
739	100380	35268
740	100524	35136
741	100663	35001
742	100805	34868
743	100939	34731
744	101074	34596
745	101196	34455
746	101333	34320
747	101470	34185
748	101613	34052
749	101765	33921
750	101931	33796
751	102080	33664
752	102221	33530
753	102346	33391
754	102458	33248
755	102597	33113
756	102722	32974
757	102854	32837
758	102989	32701
759	103131	32567
760	103290	32439
761	103414	32299
762	103568	32170
763	103699	32032
764	103817	31891
765	103968	31760
766	104101	31623
767	104237	31488
768	104380	31355
769	104522	31221
770	104671	31089
771	104783	30946
772	104930	30814
773	105054	30674
774	105189	30539
775	105313	30399
776	105422	30256
777	105551	30118
778	105703	29987
779	105831	29849
780	105969	29714
781	106105	29579
782	106251	29446
783	106374	29307
784	106501	29169
785	106635	29032
786	106743	28889
787	106866	28750
788	107006	28616
789	107137	28479
790	107256	28339
791	107383	28201
792	107514	28064
793	107635	27925
794	107766	27788
795	107911	27655
796	108048	27520
797	108180	27384
798	108305	27245
799	108438	27109
800	108567	26972
801	108688	26833
802	108823	26697
803	108938	26557
804	109097	26427
805	109223	26289
806	109373	26157
807	109492	26018
808	109606	25877
809	109733	25740
810	109856	25601
811	109993	25466
812	110123	25329
813	110242	25190
814	110371	25053
815	110508	24918
816	110628	24779
817	110773	24646
818	110885	24505
819	111019	24370
820	111146	24232
821	111287	24098
822	111427	23964
823	111558	23828
824	111679	23689
825	111810	23553
826	111935	23415
827	112070	23280
828	112201	23144
829	112321	23005
830	112452	22869
831	112580	22732
832	112703	22594
833	112844	22460
834	112980	22325
835	113101	22187
836	113243	22053
837	113369	21916
838	113495	21779
839	113636	21645
840	113768	21509
841	113877	21368
842	114006	21232
843	114138	21096
844	114264	20959
845	114393	20823
846	114535	20689
847	114657	20551
848	114778	20414
849	114914	20279
850	115028	20140
851	115147	20002
852	115282	19867
853	115408	19730
854	115545	19595
855	115679	19460
856	115796	19321
857	115929	19186
858	116074	19052
859	116214	18918
860	116333	18780
861	116450	18642
862	116566	18504
863	116703	18369
864	116831	18233
865	116952	18096
866	117089	17961
867	117225	17826
868	117351	17690
869	117475	17553
870	117597	17416
871	117742	17283
872	117867	17146
873	117978	17008
874	118091	16870
875	118235	16736
876	118370	16601
877	118497	16465
878	118625	16329
879	118754	16193
880	118891	16059
881	119050	15927
882	119195	15793
883	119332	15659
884	119464	15523
885	119590	15387
886	119722	15252
887	119840	15115
888	119965	14978
889	120089	14842
890	120239	14709
891	120370	14574
892	120511	14439
893	120650	14305
894	120786	14170
895	120924	14035
896	121061	13901
897	121196	13766
898	121324	13630
899	121458	13495
900	121596	13360
901	121715	13224
902	121844	13088
903	121982	12953
904	122115	12818
905	122248	12683
906	122366	12546
907	122493	12411
908	122613	12274
909	122745	12139
910	122886	12005
911	123015	11869
912	123153	11735
913	123268	11598
914	123393	11462
915	123542	11329
916	123678	11194
917	123810	11059
918	123943	10924
919	124131	10794
920	124261	10658
921	124395	10523
922	124533	10389
923	124659	10253
924	124790	10118
925	124912	9982
926	125050	9847
927	125172	9711
928	125307	9576
929	125451	9442
930	125582	9307
931	125706	9171
932	125825	9035
933	125958	8900
934	126073	8764
935	126211	8629
936	126352	8495
937	126480	8360
938	126603	8224
939	126741	8089
940	126872	7954
941	126998	7819
942	127116	7683
943	127245	7548
944	127369	7413
945	127503	7278
946	127632	7143
947	127764	7008
948	127890	6872
949	128023	6738
950	128162	6603
951	128289	6468
952	128420	6333
953	128561	6198
954	128716	6065
955	128838	5929
956	128988	5795
957	129110	5660
958	129257	5526
959	129398	5391
960	129521	5256
961	129649	5121
962	129760	4985
963	129885	4850
964	130011	4715
965	130147	4580
966	130271	4445
967	130396	4310
968	130510	4175
969	130643	4040
970	130783	3905
971	130901	3770
972	131034	3636
973	131153	3501
974	131282	3366
975	131413	3231
976	131555	3097
977	131693	2962
978	131808	2827
979	131924	2692
980	132062	2557
981	132169	2422
982	132300	2287
983	132418	2153
984	132537	2018
985	132659	1883
986	132789	1748
987	132924	1614
988	133044	1479
989	133179	1345
990	133317	1210
991	133432	1076
992	133554	941
993	133684	806
994	133806	672
995	133949	537
996	134090	403
997	134207	268
998	134342	134
999	134472	0
